"Name","Team","W","L","ERA","GS","G","SV","IP","H","ER","HR","SO","BB","WHIP","K/9","BB/9","FIP","WAR","RA9-WAR","playerid"
"Jacob deGrom","NYM","15","7","1.85","31","31","0","193.0","115","39","15","297","40","0.81","13.90","1.88","1.77","8.3","7.8","10954"
"Gerrit Cole","NYY","16","8","2.59","32","32","0","203.0","149","58","22","282","43","0.94","12.50","1.90","2.44","6.7","6.8","13125"
"Brandon Woodruff","MIL","12","8","2.49","31","31","0","195.0","136","54","16","237","52","0.96","10.92","2.42","2.73","5.6","6.6","16162"
"Shane Bieber","CLE","15","9","3.08","33","33","0","215.0","175","74","24","295","66","1.12","12.34","2.77","2.89","5.5","5.9","19427"
"Corbin Burnes","MIL","10","10","2.83","28","28","0","165.0","118","52","14","233","45","0.98","12.70","2.43","2.36","5.4","4.7","19361"
"Zack Wheeler","PHI","12","8","3.06","31","31","0","204.0","167","69","21","236","50","1.06","10.40","2.22","3.02","5.4","5.3","10310"
"Max Scherzer","WSN","13","10","2.92","32","32","0","200.0","145","65","28","273","50","0.97","12.30","2.24","3.09","5.3","5.7","3137"
"Kevin Gausman","SFG","14","7","2.66","31","31","0","194.0","149","57","17","223","51","1.03","10.34","2.39","2.85","4.9","5.9","14107"
"Aaron Nola","PHI","12","11","3.58","33","33","0","199.0","178","79","23","230","56","1.17","10.36","2.52","3.31","4.6","3.8","16149"
"Yu Darvish","SDP","13","7","2.97","31","31","0","189.0","146","62","21","231","52","1.04","11.00","2.46","3.14","4.6","4.8","13074"
"Tyler Glasnow","TBR","12","8","3.05","32","32","0","198.0","137","67","24","270","72","1.05","12.26","3.27","3.13","4.5","5.2","14374"
"Clayton Kershaw","LAD","16","9","3.32","32","32","0","192.0","165","71","23","211","41","1.07","9.89","1.93","3.21","4.4","4.0","2036"
"Joe Musgrove","SDP","12","10","2.85","30","31","0","176.0","132","56","19","210","43","1.00","10.76","2.18","3.09","4.4","4.7","12970"
"Carlos Rodon","CHW","12","8","2.97","27","27","0","158.0","115","52","19","213","51","1.04","12.12","2.88","3.17","4.0","4.3","16137"
"Trevor Bauer","LAD","15","9","2.97","33","33","0","209.0","148","69","29","266","66","1.02","11.45","2.84","3.50","4.0","5.1","12703"
"Trevor Rogers","MIA","12","9","2.83","29","29","0","166.0","134","52","14","195","61","1.17","10.58","3.30","3.11","3.7","4.3","22286"
"Freddy Peralta","MIL","12","7","3.14","27","44","0","167.0","111","58","20","235","73","1.10","12.68","3.93","3.33","3.7","4.2","18679"
"Lance Lynn","CHW","13","8","3.10","29","29","0","174.0","141","60","21","192","56","1.13","9.90","2.88","3.58","3.6","4.2","2520"
"Julio Urias","LAD","14","8","3.67","30","30","0","174.0","151","71","23","191","41","1.10","9.84","2.12","3.47","3.4","2.7","14765"
"Nathan Eovaldi","BOS","12","8","3.96","28","28","0","156.0","149","69","13","155","40","1.21","8.90","2.33","3.20","3.4","2.9","9132"
"Zach Eflin","PHI","9","12","4.12","31","31","0","187.0","191","86","27","183","38","1.22","8.80","1.85","3.76","3.4","2.4","13774"
"Charlie Morton","ATL","12","8","3.63","31","31","0","169.0","147","68","18","198","59","1.22","10.56","3.16","3.44","3.3","2.6","4676"
"German Marquez","COL","10","13","4.27","32","32","0","187.0","182","89","22","197","74","1.37","9.47","3.56","3.83","3.3","3.4","15038"
"Pablo Lopez","MIA","8","10","3.25","31","31","0","179.0","159","65","19","181","52","1.18","9.13","2.64","3.49","3.3","3.6","17085"
"Jose Berrios","MIN","13","9","3.66","31","31","0","187.0","163","76","23","203","56","1.17","9.75","2.68","3.63","3.2","3.6","14168"
"Lucas Giolito","CHW","12","11","3.75","31","31","0","183.0","147","76","27","224","70","1.18","11.00","3.42","3.82","3.2","3.0","15474"
"Walker Buehler","LAD","12","5","3.30","30","30","0","184.0","155","67","26","199","45","1.09","9.73","2.20","3.60","3.2","3.9","19374"
"Chris Bassitt","OAK","12","9","3.75","31","31","0","188.0","164","78","21","192","50","1.14","9.23","2.40","3.54","3.1","3.2","12304"
"John Means","BAL","10","9","3.44","30","30","0","184.0","152","70","32","177","42","1.05","8.66","2.08","4.27","3.0","4.2","16269"
"Marcus Stroman","NYM","12","11","3.26","34","34","0","190.0","177","69","20","165","51","1.20","7.80","2.43","3.65","3.0","3.4","13431"
"Taijuan Walker","NYM","11","8","3.28","28","28","0","157.0","124","57","16","164","60","1.17","9.38","3.43","3.59","3.0","3.1","11836"
"Sonny Gray","CIN","9","11","3.65","30","30","0","164.0","145","67","21","200","68","1.30","10.99","3.71","3.73","3.0","3.0","12768"
"Spencer Turnbull","DET","10","9","3.77","27","27","0","156.0","139","65","13","144","54","1.24","8.34","3.10","3.66","3.0","2.8","16207"
"Sean Manaea","OAK","10","8","3.59","30","30","0","173.0","167","69","21","169","43","1.22","8.80","2.24","3.56","2.9","3.2","15873"
"Tyler Mahle","CIN","10","8","3.81","30","30","0","156.0","135","66","22","181","55","1.22","10.48","3.20","3.83","2.9","2.8","16358"
"Hyun-Jin Ryu","TOR","13","9","3.42","31","31","0","181.0","174","69","22","171","37","1.17","8.51","1.85","3.49","2.9","4.2","14444"
"Jordan Montgomery","NYY","10","7","3.98","30","30","0","167.0","153","74","23","170","47","1.20","9.15","2.55","3.83","2.8","2.5","16511"
"Sandy Alcantara","MIA","9","13","3.78","33","33","0","197.0","172","83","22","193","67","1.21","8.83","3.08","3.78","2.7","2.7","18684"
"Johnny Cueto","SFG","10","8","3.85","27","27","0","153.0","155","66","15","135","39","1.26","7.95","2.28","3.57","2.7","2.2","6893"
"Matthew Boyd","DET","8","14","4.14","31","31","0","181.0","167","83","25","171","55","1.23","8.50","2.74","4.14","2.7","2.5","15440"
"Luis Castillo","CIN","9","15","4.75","32","32","0","172.0","176","91","22","184","67","1.42","9.63","3.51","3.95","2.6","0.5","15689"
"Mike Minor","KCR","11","10","4.26","32","32","0","183.0","166","87","25","190","64","1.25","9.33","3.13","4.01","2.5","2.4","10021"
"Merrill Kelly","ARI","8","14","4.57","31","31","0","185.0","191","94","26","169","56","1.33","8.21","2.70","4.13","2.5","1.4","11156"
"Danny Duffy","KCR","8","7","3.25","19","19","0","109.0","97","39","12","119","36","1.21","9.77","2.93","3.40","2.5","2.6","3542"
"Zack Greinke","HOU","13","9","3.93","32","32","0","199.0","194","87","28","169","44","1.19","7.62","2.00","4.02","2.5","2.8","1943"
"Blake Snell","SDP","8","7","3.94","30","30","0","145.0","120","64","18","197","73","1.33","12.21","4.51","3.62","2.5","1.9","13543"
"Ian Anderson","ATL","10","8","3.64","27","27","0","153.0","134","62","17","169","67","1.31","9.93","3.96","3.77","2.4","3.0","19951"
"Max Fried","ATL","9","9","4.07","28","28","0","148.0","146","67","15","153","57","1.37","9.31","3.48","3.74","2.4","2.0","13743"
"Logan Webb","SFG","10","9","3.69","24","42","0","147.0","137","60","12","151","54","1.30","9.28","3.30","3.43","2.3","2.1","17995"
"Dane Dunning","TEX","7","10","4.30","28","28","0","143.0","146","68","15","143","49","1.36","8.98","3.06","3.64","2.3","1.6","19409"
"Brady Singer","KCR","8","10","4.48","28","28","0","149.0","150","74","15","144","55","1.37","8.67","3.30","3.83","2.3","1.1","25377"
"Alex Cobb","LAA","9","8","3.96","25","25","0","134.0","133","59","14","133","42","1.31","8.98","2.83","3.61","2.3","1.7","6562"
"Alex Wood","SFG","11","9","3.54","27","27","0","153.0","139","60","16","153","47","1.22","9.03","2.77","3.60","2.2","2.9","13781"
"Wade Miley","CIN","11","10","3.96","26","26","0","143.0","139","63","15","123","52","1.33","7.73","3.25","3.93","2.2","2.3","8779"
"Jack Flaherty","STL","13","5","3.23","24","24","0","133.0","104","48","16","151","44","1.11","10.21","2.99","3.63","2.2","2.3","17479"
"Andrew Heaney","LAA","10","9","4.19","29","29","0","161.0","143","75","27","185","51","1.20","10.34","2.84","4.04","2.2","2.1","15423"
"Nick Pivetta","BOS","11","6","4.16","26","28","0","144.0","124","67","16","159","63","1.30","9.90","3.94","3.83","2.2","2.2","15454"
"Eduardo Rodriguez","BOS","11","10","4.60","28","28","0","159.0","163","81","22","171","51","1.35","9.70","2.89","3.85","2.1","1.8","13164"
"Zac Gallen","ARI","6","6","3.54","19","19","0","104.0","85","41","10","123","44","1.24","10.61","3.80","3.42","2.1","2.0","19291"
"Adbert Alzolay","CHC","10","10","3.88","27","27","0","149.0","123","64","22","163","48","1.14","9.85","2.88","3.96","2.1","2.4","17859"
"Anthony DeSclafani","SFG","10","9","3.90","30","30","0","169.0","157","73","20","155","55","1.25","8.22","2.90","3.91","2.1","2.5","13050"
"Kyle Gibson","TEX","9","8","3.56","29","29","0","174.0","157","69","18","152","61","1.26","7.88","3.18","3.88","2.1","3.4","10123"
"Kwang-hyun Kim","STL","7","10","3.91","27","27","0","145.0","148","63","17","127","45","1.33","7.88","2.79","3.90","2.1","1.7","27458"
"Jon Gray","COL","9","13","4.54","30","30","0","171.0","171","86","23","151","65","1.38","7.94","3.42","4.37","2.0","2.0","14916"
"Dylan Cease","CHW","8","7","4.13","26","26","0","135.0","119","62","17","151","65","1.37","10.11","4.37","4.11","2.0","1.7","18525"
"Lance McCullers Jr.","HOU","9","6","3.36","25","25","0","142.0","113","53","14","157","61","1.23","9.96","3.89","3.74","2.0","3.1","14120"
"Madison Bumgarner","ARI","9","11","4.85","29","29","0","155.0","150","84","25","156","45","1.26","9.06","2.64","4.30","2.0","0.6","5524"
"Stephen Strasburg","WSN","8","8","3.99","24","24","0","128.0","115","57","18","134","49","1.27","9.44","3.41","4.09","1.9","1.8","10131"
"Dinelson Lamet","SDP","6","4","3.07","14","38","0","89.0","74","30","9","116","32","1.19","11.66","3.24","3.04","1.9","1.8","17186"
"Yusei Kikuchi","SEA","9","10","3.80","29","29","0","175.0","146","74","25","176","58","1.17","9.03","2.99","4.09","1.9","2.8","20633"
"JT Brubaker","PIT","10","11","3.85","27","38","0","165.0","159","71","23","163","47","1.25","8.88","2.58","4.05","1.9","2.5","17578"
"Steven Matz","TOR","12","8","4.19","29","29","0","161.0","158","75","22","167","47","1.27","9.35","2.65","3.85","1.9","2.1","13361"
"Patrick Corbin","WSN","10","10","4.51","30","30","0","169.0","169","85","25","164","59","1.35","8.73","3.15","4.29","1.8","1.5","9323"
"Jameson Taillon","NYY","7","10","4.58","28","28","0","148.0","143","75","26","154","45","1.27","9.40","2.71","4.38","1.8","1.3","11674"
"Chris Paddack","SDP","8","9","3.91","26","26","0","130.0","120","57","18","129","34","1.18","8.94","2.34","3.82","1.8","1.4","20099"
"Josh Hader","MIL","6","2","2.03","0","66","29","65.0","35","15","5","110","25","0.93","15.23","3.47","1.96","1.8","1.8","14212"
"Framber Valdez","HOU","8","5","3.20","19","19","0","109.0","94","39","9","111","44","1.27","9.21","3.63","3.54","1.8","2.4","17295"
"David Price","LAD","7","4","3.30","11","59","1","101.0","91","37","13","128","31","1.20","11.37","2.72","3.23","1.8","1.5","3184"
"Adam Wainwright","STL","10","11","4.16","29","29","0","176.0","170","81","25","163","58","1.30","8.34","2.97","4.26","1.8","1.8","2233"
"Robbie Ray","TOR","11","8","3.75","31","31","0","175.0","145","73","31","224","69","1.22","11.51","3.56","4.15","1.8","3.4","11486"
"Jesus Luzardo","OAK","8","8","3.87","20","43","0","128.0","117","55","17","142","45","1.27","10.03","3.18","3.75","1.7","1.4","19959"
"Aroldis Chapman","NYY","7","2","1.71","0","66","32","66.0","32","13","5","117","31","0.94","15.80","4.17","2.02","1.7","2.0","10233"
"Michael Kopech","CHW","5","3","2.88","8","39","0","80.0","58","26","9","109","31","1.12","12.18","3.52","3.23","1.7","2.0","17282"
"Frankie Montas","OAK","11","11","4.14","29","29","0","158.0","157","73","25","164","49","1.31","9.32","2.81","4.12","1.7","1.5","14309"
"Jose Urquidy","HOU","10","8","4.05","26","26","0","150.0","138","67","24","130","38","1.18","7.82","2.28","4.32","1.7","1.9","18413"
"Michael Pineda","MIN","9","10","4.08","28","28","0","159.0","151","72","27","153","41","1.21","8.69","2.32","4.25","1.7","2.2","5372"
"Aaron Civale","CLE","13","10","4.06","30","30","0","196.0","190","88","29","156","51","1.23","7.19","2.34","4.35","1.7","3.1","19479"
"Tyler Anderson","PIT","9","13","4.50","29","29","0","169.0","163","85","27","157","58","1.31","8.36","3.07","4.46","1.7","1.2","12880"
"Edwin Diaz","NYM","4","3","2.71","0","68","32","69.0","47","21","4","104","25","1.04","13.52","3.22","2.16","1.6","1.2","14710"
"Austin Gomber","COL","8","12","4.75","28","28","0","149.0","141","79","23","155","63","1.37","9.35","3.78","4.41","1.6","1.5","16561"
"Corey Kluber","NYY","7","6","3.54","18","18","0","101.0","86","40","12","105","38","1.23","9.37","3.40","3.90","1.6","1.9","2429"
"Martin Perez","BOS","9","9","4.29","28","28","0","154.0","158","73","18","135","57","1.39","7.87","3.32","4.20","1.6","1.9","6902"
"Matt Barnes","BOS","3","3","2.91","0","66","31","67.0","42","22","6","103","24","1.00","13.87","3.26","2.36","1.5","1.3","12863"
"Casey Mize","DET","8","10","4.09","27","27","0","155.0","141","70","21","131","55","1.27","7.63","3.20","4.51","1.5","2.4","20492"
"Rich Hill","TBR","9","7","3.70","26","26","0","137.0","110","57","18","145","51","1.17","9.47","3.31","4.03","1.5","2.4","4806"
"Shane McClanahan","TBR","6","5","3.63","16","31","0","96.0","82","39","12","118","35","1.22","11.01","3.29","3.44","1.5","1.6","21483"
"Tejay Antone","CIN","5","4","3.04","4","71","15","102.0","74","35","10","123","40","1.12","10.82","3.52","3.37","1.5","2.0","16233"
"Garrett Richards","BOS","9","10","4.28","27","27","0","147.0","146","70","17","133","68","1.46","8.14","4.15","4.28","1.5","2.0","9784"
"Kenta Maeda","MIN","8","8","4.47","27","27","0","144.0","147","71","24","142","43","1.32","8.91","2.66","4.34","1.5","1.0","18498"
"Shohei Ohtani","LAA","5","4","3.37","18","18","0","94.0","65","35","10","122","57","1.29","11.65","5.43","3.92","1.5","2.0","19755"
"Craig Kimbrel","CHC","3","4","2.22","0","66","35","66.0","39","16","5","106","27","1.00","14.41","3.74","2.34","1.4","1.4","6655"
"Kyle Hendricks","CHC","13","11","4.25","31","31","0","187.0","205","88","33","158","37","1.30","7.61","1.80","4.49","1.4","1.7","12049"
"Chris Sale","BOS","4","3","3.20","10","10","0","55.0","44","20","7","74","15","1.06","11.94","2.43","3.00","1.4","1.4","10603"
"Domingo German","NYY","9","8","3.92","25","27","0","141.0","129","61","26","140","36","1.17","8.97","2.29","4.37","1.4","2.3","17149"
"Antonio Senzatela","COL","7","13","5.10","30","30","0","166.0","197","94","22","110","53","1.51","5.97","2.89","4.73","1.4","1.1","15488"
"Chris Flexen","SEA","9","8","4.41","23","25","0","126.0","134","62","17","100","35","1.35","7.17","2.54","4.19","1.4","1.1","13896"
"Liam Hendriks","CHW","4","3","2.52","0","68","32","67.0","46","19","9","102","16","0.93","13.73","2.10","2.59","1.3","1.3","3548"
"Marco Gonzales","SEA","7","11","4.38","25","25","0","145.0","142","71","24","124","42","1.27","7.69","2.62","4.60","1.3","1.2","15467"
"Carlos Carrasco","NYM","4","3","3.14","10","10","0","56.0","46","19","6","69","17","1.12","11.11","2.68","3.15","1.3","1.4","6632"
"Joey Lucchesi","NYM","4","6","4.68","15","18","0","76.0","70","40","9","84","28","1.28","9.93","3.28","3.74","1.3","0.1","19320"
"Dylan Bundy","LAA","7","13","4.96","30","30","0","169.0","164","93","32","175","52","1.27","9.32","2.75","4.55","1.3","0.7","12917"
"Scott Barlow","KCR","4","3","2.86","0","69","4","71.0","55","23","4","98","31","1.21","12.31","3.89","2.68","1.3","1.4","14993"
"Dallas Keuchel","CHW","11","9","4.43","32","32","0","186.0","199","91","24","116","61","1.40","5.61","2.95","4.63","1.3","1.3","9434"
"Jake Odorizzi","HOU","6","8","4.49","22","22","0","112.0","102","56","19","118","38","1.25","9.56","3.03","4.33","1.2","0.8","6397"
"Adrian Houser","MIL","9","11","4.03","28","29","0","151.0","144","68","20","136","61","1.36","8.12","3.63","4.35","1.2","1.8","12718"
"Carlos Martinez","STL","9","12","4.98","29","29","0","161.0","157","89","16","115","64","1.38","6.44","3.61","4.50","1.2","0.1","11682"
"Spencer Howard","PHI","5","6","4.37","17","25","0","96.0","85","47","13","111","47","1.36","10.36","4.37","4.11","1.2","0.8","23252"
"Zach Plesac","CLE","9","9","4.33","25","25","0","149.0","141","71","24","115","37","1.20","6.95","2.22","4.50","1.2","1.8","19979"
"Cole Irvin","OAK","8","13","4.33","26","28","0","149.0","157","72","21","108","34","1.28","6.53","2.03","4.31","1.2","1.3","19244"
"Giovanny Gallegos","STL","5","3","2.98","0","70","5","77.0","53","26","7","94","22","0.98","10.92","2.59","3.01","1.2","1.2","14986"
"Sixto Sanchez","MIA","4","4","3.69","12","12","0","67.0","63","28","7","64","22","1.26","8.51","2.92","3.73","1.2","1.2","19680"
"Jose Quintana","LAA","5","8","4.98","25","25","0","116.0","117","64","17","132","57","1.49","10.25","4.38","4.27","1.2","0.1","11423"
"Paul Fry","BAL","2","3","2.84","0","63","3","63.0","45","20","4","82","29","1.18","11.71","4.10","2.80","1.2","1.2","15832"
"Mitch Keller","PIT","8","12","5.09","27","27","0","133.0","134","75","18","140","64","1.49","9.47","4.31","4.32","1.1","0.3","17594"
"Jimmy Nelson","LAD","3","3","3.08","2","47","0","55.0","40","19","4","74","25","1.20","12.14","4.14","2.87","1.1","0.8","10547"
"Michael Fulmer","DET","7","6","3.73","7","64","16","92.0","88","38","11","88","27","1.25","8.67","2.64","3.88","1.1","0.9","13218"
"Ryan Pressly","HOU","4","3","2.81","0","66","28","68.0","57","21","5","77","18","1.10","10.21","2.33","2.76","1.1","1.0","7005"
"James Karinchak","CLE","4","4","2.96","0","70","21","69.0","41","23","7","114","37","1.13","14.88","4.79","2.94","1.1","1.1","20151"
"Tony Gonsolin","LAD","6","5","4.04","14","24","0","87.0","79","39","13","96","31","1.26","9.88","3.21","4.02","1.1","1.1","19388"
"Brad Keller","KCR","11","11","4.80","30","30","0","156.0","172","83","18","132","69","1.54","7.62","3.96","4.44","1.1","0.6","15734"
"J.A. Happ","MIN","8","8","4.88","25","25","0","134.0","133","73","19","112","47","1.34","7.47","3.12","4.47","1.1","0.8","7410"
"Jose Urena","DET","6","11","4.67","23","39","0","142.0","153","74","17","98","55","1.46","6.19","3.45","4.53","1.1","0.9","11589"
"Kris Bubic","KCR","5","6","3.69","17","21","0","109.0","96","44","11","91","50","1.35","7.51","4.18","4.33","1.1","2.1","21455"
"Ryan Yarbrough","TBR","8","10","4.40","26","30","0","168.0","171","82","25","131","44","1.28","7.03","2.35","4.49","1.1","0.8","16502"
"Richard Rodriguez","PIT","5","3","3.14","0","64","23","66.0","50","23","6","64","16","1.01","8.72","2.16","3.18","1.1","1.0","13549"
"David Peterson","NYM","6","9","4.44","26","26","0","128.0","119","63","18","133","55","1.35","9.34","3.84","4.35","1.0","0.5","20302"
"Will Smith","ATL","3","6","3.56","0","66","26","64.0","51","25","6","85","24","1.18","11.96","3.45","3.00","1.0","0.8","8048"
"Luke Weaver","ARI","5","6","4.35","17","17","0","90.0","83","43","13","89","30","1.26","8.91","2.96","4.15","1.0","1.1","16918"
"Matt Harvey","BAL","7","13","5.59","29","29","0","140.0","159","87","24","115","48","1.47","7.37","3.06","4.87","1.0","-0.8","11713"
"Ryan Weathers","SDP","6","5","3.28","16","31","1","98.0","84","36","13","81","33","1.20","7.48","3.08","4.32","1.0","2.0","23796"
"Taylor Rogers","MIN","4","4","2.97","0","64","11","67.0","58","22","8","87","17","1.13","11.76","2.29","2.84","1.0","1.1","13449"
"Justus Sheffield","SEA","9","11","4.55","27","27","0","150.0","157","76","18","123","65","1.48","7.36","3.90","4.54","1.0","0.4","17285"
"Huascar Ynoa","ATL","6","4","3.41","12","17","0","72.0","61","27","10","80","23","1.17","9.95","2.88","3.81","1.0","1.6","20468"
"Vince Velasquez","PHI","8","7","4.12","22","42","0","134.0","113","62","24","158","65","1.33","10.59","4.38","4.63","1.0","1.5","11189"
"Cody Poteet","MIA","4","4","4.01","13","13","0","70.0","63","31","9","59","21","1.20","7.59","2.75","4.12","1.0","0.8","18769"
"Luis Severino","NYY","4","3","3.75","11","11","0","60.0","54","25","8","67","19","1.21","9.95","2.82","3.76","1.0","1.0","15890"
"Jon Lester","WSN","5","9","4.67","25","25","0","131.0","141","68","20","105","44","1.41","7.22","3.04","4.62","1.0","1.0","4930"
"Noah Syndergaard","NYM","3","3","3.56","8","8","0","47.0","42","19","5","49","13","1.18","9.43","2.52","3.43","1.0","0.9","11762"
"Erick Fedde","WSN","7","8","4.38","18","35","0","109.0","102","53","14","98","46","1.36","8.03","3.78","4.35","1.0","0.9","17425"
"John Gant","STL","9","10","3.66","28","31","0","152.0","145","62","14","120","88","1.54","7.12","5.23","4.57","0.9","2.2","13684"
"Trevor Cahill","PIT","4","8","5.38","14","31","0","86.0","92","51","10","74","30","1.43","7.81","3.18","4.09","0.9","-0.4","6249"
"Cristian Javier","HOU","7","5","3.64","15","48","0","120.0","86","49","19","146","53","1.16","10.92","4.01","4.21","0.9","1.9","17606"
"Trevor Williams","CHC","8","8","4.76","27","27","0","134.0","141","71","21","134","52","1.44","8.98","3.50","4.50","0.9","0.7","16977"
"Jakob Junis","KCR","5","8","4.53","13","57","0","110.0","113","55","16","107","33","1.33","8.72","2.70","4.09","0.9","0.6","13619"
"Luis Garcia","HOU","7","6","3.62","19","21","0","106.0","84","43","16","116","42","1.19","9.83","3.56","4.29","0.9","1.8","23735"
"Griffin Canning","LAA","10","9","4.62","25","26","0","132.0","123","68","25","142","53","1.34","9.72","3.63","4.73","0.9","1.0","19867"
"Elieser Hernandez","MIA","5","6","4.19","18","18","0","94.0","84","44","15","100","31","1.23","9.56","2.96","4.20","0.9","0.8","16933"
"Daniel Bard","COL","5","5","3.96","0","62","20","63.0","61","28","7","84","26","1.38","11.90","3.76","3.31","0.9","0.5","7115"
"Kyle Freeland","COL","5","7","5.10","19","19","0","101.0","116","57","13","80","43","1.58","7.18","3.80","4.68","0.9","0.9","16256"
"Rick Porcello","","4","5","4.53","14","14","0","80.0","83","40","13","70","22","1.31","7.84","2.48","4.45","0.9","0.7","2717"
"Logan Gilbert","SEA","4","8","4.61","19","19","0","97.0","93","49","15","95","29","1.26","8.87","2.71","4.30","0.9","0.6","22250"
"Justin Dunn","SEA","5","8","4.19","24","24","0","123.0","97","57","17","124","66","1.33","9.08","4.86","4.76","0.9","1.4","19268"
"Blake Treinen","LAD","3","4","3.24","0","67","8","66.0","58","24","6","76","22","1.22","10.37","3.00","3.17","0.9","0.6","12572"
"Jorge Lopez","BAL","4","10","4.77","21","34","0","114.0","112","60","18","111","45","1.38","8.76","3.58","4.65","0.9","0.6","14527"
"Caleb Smith","ARI","6","6","4.10","12","44","0","108.0","96","49","16","119","47","1.33","9.91","3.97","4.32","0.9","1.0","14875"
"Emmanuel Clase","CLE","5","4","2.54","0","68","19","67.0","59","19","4","73","30","1.32","9.84","3.96","3.08","0.8","1.1","21032"
"Tyler Matzek","ATL","2","4","3.34","0","62","1","61.0","46","23","6","88","30","1.24","12.91","4.42","3.06","0.8","0.7","10058"
"Daniel Hudson","WSN","6","3","3.35","0","64","5","64.0","47","24","8","83","25","1.12","11.62","3.53","3.35","0.8","0.9","7146"
"Pierce Johnson","SDP","3","4","3.45","0","57","0","54.0","40","21","5","74","24","1.20","12.34","4.07","3.03","0.8","0.5","13435"
"Tarik Skubal","DET","7","14","4.37","25","42","0","148.0","135","72","29","170","63","1.34","10.35","3.85","4.78","0.8","1.6","22267"
"Aaron Loup","NYM","3","2","3.02","0","57","0","53.0","48","18","4","60","16","1.20","10.28","2.68","2.87","0.8","0.4","10343"
"Jose Cisnero","DET","2","4","3.93","0","67","1","64.0","58","28","8","80","26","1.30","11.29","3.60","3.62","0.8","0.0","6399"
"Dylan Floro","MIA","4","4","3.40","0","68","2","66.0","62","25","4","58","22","1.28","7.97","3.03","3.28","0.8","0.5","13394"
"Garrett Crochet","CHW","3","4","2.61","0","55","1","55.0","44","16","5","67","27","1.29","10.96","4.42","3.41","0.8","0.9","27463"
"Trevor May","NYM","5","4","3.37","0","67","3","65.0","56","24","8","88","23","1.21","12.05","3.22","3.28","0.8","0.3","6398"
"Ryan Tepera","CHC","2","2","3.20","0","66","2","65.0","46","23","6","76","22","1.05","10.42","3.07","3.31","0.8","0.9","10291"
"Collin McHugh","TBR","2","2","3.46","3","43","0","49.0","45","19","5","65","18","1.29","11.94","3.39","3.02","0.7","0.4","7531"
"Miguel Castro","NYM","4","3","3.03","2","66","0","68.0","50","23","6","87","33","1.23","11.52","4.41","3.33","0.7","1.0","15684"
"Austin Adams","SDP","4","2","2.90","0","63","1","59.0","41","19","4","84","28","1.16","12.71","4.21","3.12","0.7","0.7","13801"
"Chad Green","NYY","2","5","2.96","0","66","3","70.0","49","23","10","78","20","0.98","10.02","2.57","3.75","0.7","1.1","15552"
"Brett Anderson","MIL","7","9","4.24","25","25","0","122.0","135","57","16","82","37","1.41","6.10","2.72","4.55","0.7","1.2","8223"
"Matt Peacock","ARI","5","5","4.23","10","34","0","85.0","88","40","10","66","24","1.31","6.97","2.49","4.06","0.7","0.5","20339"
"Jonathan Loaisiga","NYY","6","4","3.00","0","64","3","69.0","57","23","7","71","21","1.14","9.20","2.77","3.45","0.7","1.0","19753"
"Chris Archer","TBR","3","4","4.40","9","10","0","50.0","50","25","7","53","18","1.34","9.40","3.16","4.02","0.7","0.3","6345"
"Josh Fleming","TBR","10","8","3.77","18","29","0","128.0","123","54","15","86","38","1.25","6.07","2.68","4.33","0.7","1.9","20418"
"Cole Sulser","BAL","3","2","3.16","0","56","5","59.0","45","21","7","76","25","1.19","11.71","3.83","3.51","0.7","0.9","15256"
"Craig Stammen","SDP","5","3","3.23","0","65","1","75.0","67","27","10","81","17","1.12","9.77","2.02","3.41","0.7","1.0","7274"
"Clay Holmes","PIT","3","2","3.37","0","60","0","61.0","53","23","4","63","25","1.27","9.27","3.62","3.38","0.7","0.6","13649"
"Zach Davies","CHC","8","9","4.85","30","30","0","156.0","172","84","20","107","67","1.53","6.18","3.85","4.84","0.7","0.5","13183"
"Tanner Houck","BOS","3","5","4.59","11","12","0","58.0","61","30","7","57","23","1.45","8.78","3.53","4.13","0.7","0.3","19879"
"Jeff Hoffman","CIN","6","8","4.63","18","34","0","97.0","91","50","13","98","52","1.48","9.13","4.86","4.61","0.7","0.3","17432"
"Keegan Akin","BAL","5","7","4.70","16","30","0","106.0","102","55","18","104","46","1.39","8.84","3.87","4.81","0.7","0.6","19362"
"Joe Ross","WSN","7","11","4.92","25","25","0","131.0","129","72","22","122","55","1.40","8.37","3.74","4.93","0.7","0.5","12972"
"Seth Lugo","NYM","3","3","3.35","1","51","1","57.0","51","21","6","66","16","1.16","10.27","2.47","3.24","0.7","0.6","12447"
"Ross Detwiler","MIA","3","2","3.28","2","52","0","51.0","41","19","3","54","21","1.21","9.47","3.76","3.33","0.7","0.6","2859"
"Andrew Chafin","CHC","2","3","2.98","0","68","1","66.0","49","22","5","71","27","1.15","9.67","3.60","3.35","0.7","1.1","12988"
"Michael Wacha","TBR","5","6","4.45","18","27","0","107.0","103","53","17","94","33","1.28","7.93","2.81","4.43","0.7","0.7","14078"
"Aaron Bummer","CHW","2","5","3.14","0","64","2","62.0","53","22","5","76","30","1.34","11.05","4.40","3.33","0.7","0.6","16258"
"Tanner Scott","BAL","4","5","3.30","0","70","1","65.0","50","24","5","85","42","1.42","11.82","5.87","3.64","0.6","0.7","17586"
"Cal Quantrill","CLE","4","5","3.77","10","48","0","98.0","97","41","12","84","34","1.34","7.70","3.10","4.21","0.6","1.4","19312"
